formula_i,chaos,spatial,spectral,msm,total_iso_ints,min_iso_ints,max_iso_ints,formula,fdr,moldb_id,chem_mod,neutral_loss,adduct
1288911,0.998839379920461,0.6846292587697144,0.9464150303018213,0.6471914045396016,"[50786844672.0, 30129690624.0, 28074096.0, 0]","[0, 0, 0, 0]","[40703428.0, 22506080.0, 2224591.75, 0]",C55H96O6,0.1,22.0,,,+H
1289557,0.9986796982167353,0.51519142141103,0.9187470938911941,0.47270568195578805,"[39294205952.0, 16096922624.0, 2650532352.0, 0]","[0, 0, 0, 0]","[33064596.0, 14963986.0, 5835499.5, 0]",C55H98O6,0.1,22.0,,,+H
1060491,0.997138981378715,0.7509152280895769,0.9889563087916777,0.7404976958087395,"[87113048064.0, 47761637376.0, 10802059264.0, 4081255680.0]","[0, 0, 0, 0]","[119775264.0, 61679496.0, 34184060.0, 14435868.0]",C42H80NO8P,0.1,22.0,,,+Na
1302471,0.9987922088968274,0.6265009826280685,0.9278935740888989,0.5806241152851553,"[28318869504.0, 14509443072.0, 578292736.0, 0]","[0, 0, 0, 0]","[21068968.0, 11425438.0, 3517821.25, 0]",C57H102O6,0.1,22.0,,,+H
1103362,0.9984442584065858,0.6941566780407974,0.9553119571534124,0.6621045061412333,"[32269975552.0, 13749326848.0, 3273098.5, 0]","[0, 0, 0, 0]","[23780968.0, 10656255.0, 1306527.125, 0]",C44H82NO8P,0.1,22.0,-CO2+CO,,+H
1103362,0.9984442584065858,0.6941566780407974,0.9553119571534124,0.6621045061412333,"[32269975552.0, 13749326848.0, 3273098.5, 0]","[0, 0, 0, 0]","[23780968.0, 10656255.0, 1306527.125, 0]",C44H84NO8P,0.1,22.0,,-H2O,+H
1103362,0.9984442584065858,0.6941566780407974,0.9553119571534124,0.6621045061412333,"[32269975552.0, 13749326848.0, 3273098.5, 0]","[0, 0, 0, 0]","[23780968.0, 10656255.0, 1306527.125, 0]",C44H82NO7P,0.1,22.0,,,+H
1062451,0.9985137457044674,0.6533665287863542,0.9586765684479143,0.6254362408411623,"[16236831744.0, 7204556800.0, 31705878.0, 18591424.0]","[0, 0, 0, 0]","[11351046.0, 5959877.0, 1271337.5, 5842295.0]",C42H82NO7P,0.1,22.0,,,+H
1062451,0.9985137457044674,0.6533665287863542,0.9586765684479143,0.6254362408411623,"[16236831744.0, 7204556800.0, 31705878.0, 18591424.0]","[0, 0, 0, 0]","[11351046.0, 5959877.0, 1271337.5, 5842295.0]",C42H84NO8P,0.1,22.0,,-H2O,+H
1309924,0.9985545207605743,0.5306840960952236,0.9403245151993357,0.4982939491784686,"[23242192896.0, 16085356544.0, 8674066.0, 0]","[0, 0, 0, 0]","[19158696.0, 11683295.0, 2921775.0, 0]",C57H98O6,0.1,22.0,,,+H
