id,name,formula,inchi,added by,comment
EMBL_dev1_183,DHB; 1*M+4*(M-H2O)-0*H+0*K+0*Na,C35H22O16,,Theodore,DHB matrix cluster
EMBL_dev1_184,DHB; 1*M+4*(M-H2O)-1*H+0*K+1*Na,C35H21NaO16,,Theodore,DHB matrix cluster
EMBL_dev1_185,DHB; 1*M+4*(M-H2O)-2*H+0*K+2*Na,C35H20Na2O16,,Theodore,DHB matrix cluster
EMBL_dev1_186,DHB; 1*M+4*(M-H2O)-3*H+0*K+3*Na,C35H19Na3O16,,Theodore,DHB matrix cluster
EMBL_dev1_187,DHB; 1*M+4*(M-H2O)-1*H+1*K+0*Na,C35H21KO16,,Theodore,DHB matrix cluster
EMBL_dev1_188,DHB; 1*M+4*(M-H2O)-2*H+1*K+1*Na,C35H20NaKO16,,Theodore,DHB matrix cluster
EMBL_dev1_189,DHB; 1*M+4*(M-H2O)-3*H+1*K+2*Na,C35H19Na2KO16,,Theodore,DHB matrix cluster
EMBL_dev1_190,DHB; 1*M+4*(M-H2O)-4*H+1*K+3*Na,C35H18Na3KO16,,Theodore,DHB matrix cluster
EMBL_dev1_191,DHB; 1*M+4*(M-H2O)-2*H+2*K+0*Na,C35H20K2O16,,Theodore,DHB matrix cluster
EMBL_dev1_192,DHB; 1*M+4*(M-H2O)-3*H+2*K+1*Na,C35H19NaK2O16,,Theodore,DHB matrix cluster
EMBL_dev1_193,DHB; 1*M+4*(M-H2O)-4*H+2*K+2*Na,C35H18Na2K2O16,,Theodore,DHB matrix cluster
EMBL_dev1_194,DHB; 1*M+4*(M-H2O)-5*H+2*K+3*Na,C35H17Na3K2O16,,Theodore,DHB matrix cluster
EMBL_dev1_195,DHB; 1*M+4*(M-H2O)-3*H+3*K+0*Na,C35H19K3O16,,Theodore,DHB matrix cluster
EMBL_dev1_196,DHB; 1*M+4*(M-H2O)-4*H+3*K+1*Na,C35H18NaK3O16,,Theodore,DHB matrix cluster
EMBL_dev1_197,DHB; 1*M+4*(M-H2O)-5*H+3*K+2*Na,C35H17Na2K3O16,,Theodore,DHB matrix cluster
