id	formula	name
LMFA01020223	C21H42O2	19-methyl-eicosanoic acid
LMFA01020224	C21H38O2	19-methyl-5E,9E-eicosadienoic acid
LMFA01020225	C21H38O2	18-methyl-5Z,9Z-eicosadienoic acid
LMFA01020226	C21H38O2	19-methyl-5Z,9Z-eicosadienoic acid
LMFA01020227	C22H44O2	19-methyl-heneicosanoic acid
LMFA01020228	C22H44O2	3-methyl-heneicosanoic acid
LMFA01020229	C24H48O2	2,4-dimethyl-docosanoic acid
LMFA01020230	C23H46O2	Isotricosanoic acid
LMFA01020231	C24H48O2	3,15-dimethyl-docosanoic acid
LMFA01020232	C24H48O2	21-methyl-tricosanoic acid
LMFA01020233	C25H46O2	23-methyl-5Z,9Z-tetracosadienoic acid
LMFA01020234	C30H60O2	9,10-dimethyl-octacosanoic acid
LMFA01020242	C8H16O2	Isocaprylic acid
LMFA01020243	C9H18O2	3-methyl-octanoic acid
LMFA01020244	C9H18O2	4-methyl-octanoic acid
LMFA01020245	C9H18O2	5-methyl-octanoic acid
LMFA01020246	C10H20O2	7-methyl-nonanoic acid
LMFA01020247	C10H20O2	Isocapric acid
LMFA01020248	C15H30O2	Farnesylic acid
LMFA01020249	C16H32O2	4,8,12-trimethyl-tridecanoic acid
LMFA01020253	C22H40O2	7,7-dimethyl-5Z,8Z-eicosadienoic acid
LMFA01020254	C22H38O2	7,7-dimethyl-5Z,8Z,11Z-eicosatrienoic acid
LMFA01020255	C22H38O2	10,10-dimethyl-5Z,8Z,11Z-eicosatrienoic acid
LMFA01020256	C27H52O2	2,4-dimethyl-2-pentacosenoic acid
LMFA01020261	C11H22O2	5R-methyl-decanoic acid
LMFA01020262	C13H26O2	2R-methyl-dodecanoic acid
LMFA01020263	C19H36O2	10-methylene-octadecanoic acid
LMFA01020264	C27H52O2	2-methyl-2-hexacosenoic acid
LMFA01020265	C17H34O2	4R-methyl-hexadecanoic acid
LMFA01020266	C17H32O2	10-methyl-9-hexadecenoic acid
LMFA01020267	C17H32O2	14R-methyl-8Z-hexadecenoic acid
